t,k_t,P_t,Y_t,Δk
0,2.5,0.7627,2.7507,0.25070000000000014
1,2.7507,0.7981,2.9908,0.24009999999999998
2,2.9908,0.8258,3.1999,0.20909999999999984
3,3.1999,0.846,3.3679,0.16800000000000015
4,3.3679,0.86,3.4944,0.12650000000000006
5,3.4944,0.8694,3.5851,0.0907
6,3.5851,0.8756,3.6479,0.06279999999999974
7,3.6479,0.8797,3.6905,0.04260000000000019
8,3.6905,0.8823,3.7188,0.02829999999999977
9,3.7188,0.8841,3.7375,0.01869999999999994
10,3.7375,0.8852,3.7497,0.012199999999999989
11,3.7497,0.8859,3.7577,0.008000000000000007
12,3.7577,0.8864,3.7629,0.0052000000000003155
13,3.7629,0.8867,3.7663,0.0034000000000000696
14,3.7663,0.8869,3.7685,0.0021999999999997577
15,3.7685,0.887,3.7699,0.0013999999999998458
16,3.7699,0.8871,3.7708,0.0009000000000001229
17,3.7708,0.8871,3.7714,0.0005999999999999339
18,3.7714,0.8872,3.7718,0.00039999999999995595
19,3.7718,0.8872,3.772,0.0
